aaa	Ghotuo
akz	Alabama
ala	Alago
alc	Qawasqar
ald	Alladian
ale	Aleut
alf	Elege
alh	Alawa
ali	Amaimon
alj	Alangan
alk	Alak
all	Allar
alm	Amblong
aln	Gheg Albanian
alo	Larike-Wakasihu
alp	Alune
alq	Algonquin
alr	Alutor
als	Tosk Albanian
alt	Southern Altai
alu	’Are’are
alw	Alaba-K’abeena
alx	Mol
aly	Alyawarr
alz	Alur
ama	Amanayé
amb	Ambo
amc	Amahuaca
ame	Yanesha’
amf	Hamer-Banna
amg	Amurdak
amh	Amharic
ami	Amis
amj	Amdang
amk	Ambai
aml	War-Jaintia
amm	Sawiyanu
amn	Amanab
amo	Amo
amp	Alamblak
amq	Amahai
amr	Amarakaeri
ams	Southern Amami-Oshima
amt	Amto
amu	Guerrero Amuzgo
amv	Ambelau
amw	Western Neo-Aramaic
amx	Anmatyerr
amy	Ami
amz	Atampaya
ana	Andaqui
anb	Andoa
anc	Ngas
and	Ansus
ane	Xârâcùù
anf	Animere
anh	Nend
ani	Andi
anj	Anor
ank	Goemai
anl	Anu-Khongso Chin
anm	Anal
ann	Obolo
ano	Andoque
anp	Angika
anq	Jarawa
anr	Andh
ans	Anserma
ant	Antikarinya
anu	Anuak
anv	Denya
anw	Anaang
anx	Andra-Hus
any	Anyin
anz	Anem
aoa	Angolar
aob	Abom
aoc	Pemon
aod	Andarum
aoe	Angal Enen
aof	Bragat
aog	Angoram
aoi	Anindilyakwa
aoj	Mufian
aok	Arhö
aol	Alor
aom	Ömie
aon	Weri
aor	Aore
aos	Taikat
aot	Atong
aou	A’ou
aox	Atorada
aoz	Uab Meto
apb	Saꞌa
apc	Levantine Arabic
apd	Sudanese Arabic
ape	Bukiyip
apf	Pahanan Agta
apg	Ampanang
aph	Athpariya
api	Apiaká
apj	Jicarilla Apache
apk	Kiowa Apache
apl	Lipan Apache
apm	Mescalero-Chiricahua Apache
apn	Apinagé
apo	Ambul
app	Apma
apq	A-Pucikwar
apr	Arop-Lokep
aps	Orop
apt	Apatani
apu	Apurinã
apv	Alapmunte
apw	Western Apache
apx	Aputai
apy	Apalaí
apz	Safeyoka
aqc	Archi
aqd	Ampari Dogon
aqg	Arigidi
aqk	Aninka
aqm	Atohwaim
aqn	Northern Alta
aqp	Atakapa
aqr	Arhâ
aqt	Angaité
aqz	Akuntsu
arb	Standard Arabic
ard	Arabana
are	Western Arrarnta
arg	Aragonese
arh	Arhuaco
ari	Arikara
arj	Arapaso
ark	Arikapú
arl	Arabela
arn	Mapudungun
aro	Araona
arp	Arapaho
arq	Algerian Arabic
arr	Karo
ars	Najdi Arabic
aru	Aruá
arv	Arbore
arw	Arawak
arx	Aruá
ary	Moroccan Arabic
arz	Egyptian Arabic
asa	Asu
asb	Assiniboine
asc	Casuarina Coast Asmat
ase	American Sign Language
asf	Auslan
asg	Cishingini
ash	Awishira
asi	Buruwai
asj	Sari
ask	Ashkun
asl	Asilulu
asm	Assamese
asn	Asurini of Xingú
aso	Dano
asp	Algerian Sign Language
asq	Austrian Sign Language
asr	Asuri
ass	Ipulo
ast	Asturian
asu	Tocantins Asurini
asv	Asoa
asw	Australian Aborigines Sign Language
asx	Muratayak
asy	Yaosakor Asmat
asz	As
ata	Pele-Ata
atb	Zaiwa
atc	Atsahuaca
atd	Ata Manobo
ate	Mand
atg	Ivbie North-Okpela-Arhe
ati	Attié
atj	Atikamekw
atk	Ati
atl	Mt. Iraya Agta
atm	Ata
atn	Ashtiani
ato	Atong
atp	Pudtol Atta
atq	Aralle-Tabulahan
atr	Waimiri-Atroarí
ats	Gros Ventre
att	Pamplona Atta
atu	Reel
atv	Northern Altai
atw	Atsugewi
atx	Arutani
aty	Aneityum
atz	Arta
aua	Asumboa
aub	Alugu
auc	Waorani
aud	Anuta
aug	Aguna
auh	Aushi
aui	Anuki
auj	Awjilah
auk	Heiyoho
aul	Aulua
aum	Asu
aun	Molmo One
auo	Auyokawa
aup	Makayam
auq	Anus
aur	Aruek
aut	Austral
auu	Auye
auw	Awyi
aux	Aurá
auy	Awiyaana
auz	Uzbeki Arabic
ava	Avar
avb	Avau
avd	Alviri-Vidari
ave	Avestan
avi	Avikam
avl	Levantine Bedawi Arabic
avm	Angkamuthi
avn	Avatime
avo	Agavotaguerra
avs	Aushiri
avt	Au
avu	Avokaya
avv	Avá-Canoeiro
awa	Avadhi
awb	Awa
awc	Cicipu
awe	Awetí
awg	Anguthimri
awh	Awbono
awi	Aekyom
awk	Awabakal
awm	Taupi
awn	Awngi
awo	Awak
awr	Awera
aws	South Awyu
awt	Araweté
awu	Central Awyu
awv	Jair Awyu
aww	Awun
awx	Awara
awy	Edera Awyu
axb	Abipon
axe	Ayerrerenge
axg	Mato Grosso Arára
axk	Aka
axl	Lower Southern Aranda
axx	Xârâgurè
aya	Awar
ayb	Ayizo Gbe
ayc	Southern Aymara
ayd	Ayabadhu
aye	Ayere
ayg	Ginyanga
ayh	Hadrami Arabic
ayi	Leyigha
ayk	Akuku
ayl	Libyan Arabic
ayn	Sanaani Arabic
ayo	Ayoreo
ayp	North Mesopotamian Arabic
ayq	Ayi
ayr	Central Aymara
ays	Sorsogon Ayta
ayt	Magbukun Ayta
ayu	Ayu
ayz	Mai Brat
aza	Azha
azb	South Azerbaijani
azd	Eastern Durango Nahuatl
azg	San Pedro Amuzgos Amuzgo
azj	North Azerbaijani
azm	Ipalapa Amuzgo
azn	Western Durango Nahuatl
azo	Awing
azt	Faire Atta
azz	Highland Puebla Nahuatl
baa	Babatana
bab	Bainouk-Gunyuño
bac	Badui
bae	Baré
baf	Nubaca
bag	Tuki
bah	Bahamas English Creole
baj	Barakai
bak	Bashkort
bam	Bamanankan
ban	Bali
bao	Waimaha
bap	Bantawa
bar	Bavarian
bas	Basaa
bau	Mbat
bav	Vengo
baw	Bambili-Bambui
bax	Bamun
bay	Gwatlelir
bba	Baatonum
bbb	Barai
bbc	Batak Toba
bbd	Fulumu
bbe	Bangba
bbf	Baibai
bbg	Barama
bbh	Bugan
bbi	Barombi
bbj	Ghomálá’
bbk	Babanki
bbl	Bats
bbm	Babango
bbn	Uneapa
bbo	Konabéré
bbp	West Central Banda
bbq	Chopechop
bbr	Girawa
bbs	Iyongiyong
bbt	Burku
bbu	Kulung
bbv	Karnai
bbw	Supapya
bbx	Bubia
bby	Befang
bca	Central Bai
bcb	Bainouk-Samik
bcc	Southern Balochi
bcd	North Babar
bce	Mengambo
bcf	Bamu
bcg	Baga Pokur
bch	Bariai
bci	Baoulé
bcj	Bardi
bck	Bunuba
bcl	Central Bikol
bcm	Bannoni
bcn	Bali
bco	Kaluli
bcp	Bali
bcq	Bench
bcr	Babine
bcs	Hohumono
bct	Bendi
bcu	Awad Bing
bcv	Shoo-Minda-Nye
bcw	Bana
bcy	Bacama
bcz	Bainouk-Gunyaamolo
bda	Bayot
bdb	Basap
bdc	Embera Baudó
bdd	Bunama
bde	Bade
bdf	Biage
bdg	Bonggi
bdh	Baka
bdi	Burun
bdj	Bai
bdk	Budukh
bdl	Indonesian Bajau
bdm	Buduma
bdn	Baldemu
bdo	Morom
bdp	Bende
bdq	Bahnar
bdr	West Coast Bajau
bds	Burunge
bdt	Bhogoto
bdu	Oroko
bdv	Bodo Parja
bdw	Baham
bdx	Budong-Budong
bdy	Bandjalang
bdz	Badeshi
bea	Beaver
beb	Bebele
bec	Iceve-Maci
bed	Bedoanas
bee	Byangsi
bef	Benabena
beg	Belait
beh	Biali
bei	Bakati’
bej	Bedawiyet
bek	Bebeli
bel	Belarusian
bem	Bemba
ben	Bengali
beo	Bedamuni
bep	Behoa
beq	Beembe
bes	Besme
bet	Guiberoua Bété
beu	Blagar
bev	Daloa Bété
bew	Betawi
bex	Jur Modo
bey	Beli
bez	Bena
bfa	Bari
bfb	Pauri Bareli
bfc	Panyi Bai
bfd	Bafut
bfe	Betaf
bff	Bofi
bfg	Busang Kayan
bfh	Blafe
bfi	British Sign Language
bfj	Chufie’
bfk	Ban Khor Sign Language
bfl	Banda-Ndélé
bfm	Mmen
bfn	Bunak
bfo	Malba Birifor
bfp	Beba
bfq	Badaga
bfr	Bazigar
bfs	Southern Bai
bft	Balti
bfu	Gahri
bfw	Bondo
bfx	Bantayanon
bfy	Bagheli
bfz	Mahasu Pahari
bga	Gwamhi-Wuri
bgb	Bobongko
bgc	Haryanvi
bgd	Rathwi Bareli
bge	Bauria
bgf	Bangandu
bgg	Bugun
bgi	Bagobo-Klata
bgj	Mendenkye
bgk	Bit
bgl	Bo
bgn	Western Balochi
bgo	Baga Koga
bgp	Eastern Balochi
bgq	Bagri
bgr	Bawm Chin
bgs	Tagabawa
bgt	Bughotu
bgu	Mbongno
bgv	Warkay-Bipim
bgw	Bhatri
bgx	Balkan Gagauz Turkish
bgy	Benggoi
bgz	Banggai
bha	Bharia
bhb	Bhili
bhc	Biga
bhd	Bhadrawahi
bhe	Bhaya
bhf	Odiai
bhg	Binandere
bhh	Bukharic
bhi	Bhilali
bhj	Bahing
bhl	Bimin
bhm	Bathari
bhn	Bohtan Neo-Aramaic
bho	Bhojpuri
bhp	Bima
bhq	Tukang Besi South
bhr	Bara Malagasy
bhs	Buwal
bht	Bhattiyali
bhu	Bhunjia
bhv	Bahau
bhw	Biak
bhx	Bhalay
bhy	Bhele
bhz	Bada
bia	Badimaya
bib	Bissa
bid	Bidiyo
bie	Bepour
bif	Biafada
big	Biangai
bil	Bille
bim	Bimoba
bin	Edo
bio	Nai
bip	Bila
biq	Bipi
bir	Bisorio
bis	Bislama
bit	Berinomo
biu	Biate
biv	Southern Birifor
biw	Kol
bix	Bijori
biy	Birhor
biz	Baloi
bja	Budja
bjb	Barngarla
bjc	Bariji
bje	Biao-Jiao Mien
bjf	Barzani-Sandu Jewish Neo-Aramaic
bjg	Bijagó
bjh	Bahinemo
bji	Burji
bjj	Kanauji
bjk	Barok
bjl	Bulu
bjm	Bajelani
bjn	Banjar
bjo	Mid-Southern Banda
bjp	Fanamaket
bjr	Binumarien
bjs	Bajan
bjt	Balanta-Ganja
bju	Busuu
bjv	Bedjond
bjw	Bakwé
bjx	Vanaw Kalinga
bjy	Bayali
bjz	Baruga
bka	Kyak
bkc	Baka
bkd	Binukid
bkf	Beeke
bkg	Buraka
bkh	Bakoko
bki	Baki
bkj	Pande
bkk	Brokskat
bkl	Berik
bkm	Kom
bkn	Bukitan
bko	Kwa’
bkp	Boko
bkq	Bakairí
bkr	Bakumpai
bks	Northern Sorsoganon
bkt	Boloki
bku	Buhid
bkv	Bekwarra
bkw	Bekwel
bkx	Baikeno
bky	Bokyi
bkz	Bungku
bla	Blackfoot
blb	Bilua
blc	Bella Coola
bld	Bolango
ble	Balanta
blf	Buol
blh	Kuwaa
bli	Bolia
blj	Bulungan
blk	Pa’o
bll	Biloxi
blm	Beli
bln	Southern Catanduanes Bikol
blo	Anii
blp	Blablanga
blq	Paluai
blr	Blang
bls	Balaesang
blt	Tai Dam
blv	Kibala
blw	Balangao
blx	Mag-Indi Ayta
bly	Notre
blz	Balantak
bma	Lame
bmb	Bembe
bmc	Biem
bmd	Baga Manduri
bme	Limassa
bmf	Bom-Kim
bmg	Bamwe
bmh	Kein
bmi	Bagirmi
bmj	Bote
bmk	Ghayavi
bml	Bomboli
bmm	Northern Betsimisaraka Malagasy
bmn	Bina
bmo	Chrambo
bmp	Gamane
bmq	Bomu
bmr	Muinane
bms	Bilma Kanuri
bmt	Biao Mon
bmu	Somba-Siawari
bmv	Bum
bmw	Bomwali
bmx	Baimak
bmz	Baramu
bna	Bonerate
bnb	Bookan Murut
bnd	Banda
bne	Bintauna
bnf	Masiwang
bng	Benga
bni	Bobangi
bnj	Bangon
bnk	Bierebo
bnl	Boon
bnm	Bapuku
bnn	Bunun
bno	Bantoanon
bnp	Bola
bnq	Bantik
bnr	Butmas-Tur
bns	Bundeli
bnu	Bentong
bnv	Beneraf
bnw	Bisis
bnx	Bangubangu
bny	Vaie
bnz	Beezen
boa	Bora
bob	Aweer
bod	Tibetan
boe	Mundabli
bof	Bolon
bog	Malian Sign Language
boh	Boma
boi	Barbareño
boj	Anjam
bok	Bonjo
bol	Bole
bom	Berom
bon	Bine
boo	Tiemacèwè Bozo
bop	Bonkiman
boq	Bogaya
bor	Borôro
bos	Bosnian
bot	Bongo
bou	Bondei
bov	Tuwuli
bow	Rema
box	Buamu
boy	Bodo
boz	Tieyaxo Bozo
bpa	Daakaka
bpc	Mbuk
bpd	Banda-Banda
bpe	Bauni
bpg	Bonggo
bph	Botlikh
bpi	Bagupi
bpj	Bindji
bpk	Orowe
bpl	Broome Pearling Lugger Pidgin
bpm	Biyom
bpn	Dzao Min
bpo	Anasi
bpp	Kaure
bpq	Banda Malay
bpr	Koronadal Blaan
bps	Sarangani Blaan
bpt	Barrow Point
bpu	Bongu
bpv	Bian Marind
bpw	Bo
bpx	Palya Bareli
bpy	Bishnupuriya
bpz	Bilba
bqa	Tchumbuli
bqb	Bagusa
bqc	Boko
bqd	Bung
bqf	Baga Kaloum
bqg	Bago-Kusuntu
bqh	Baima
bqi	Bakhtiâri
bqj	Bandial
bqk	Banda-Mbrès
bql	Karian
bqm	Wumboko
bqn	Bulgarian Sign Language
bqo	Balo
bqp	Bisã
bqq	Biritai
bqr	Burusu
bqs	Bosmun
bqt	Mankong
bqu	Boguru
bqv	Koro Wachi
bqw	Buru
bqx	Baangi
bqy	Kata Kolok
bqz	Bakaka
bra	Braj Bhasha
brb	Brao
brc	Berbice Dutch Creole
brd	Baram
bre	Breton
brf	Bira
brg	Baure
brh	Brahui
bri	Mokpwe
brj	Bieria
brk	Birked
brl	Birwa
brm	Barambu
brn	Boruca
bro	Brokkat
brp	Barapasi
brq	Breri
brr	Birao
brs	Baras
brt	Bitare
bru	Eastern Bru
brv	Western Bru
brw	Bellari
brx	Boro
bry	Burui
brz	Bilbil
bsa	Abinomn
bsb	Brunei Bisaya
bsc	Oniyan
bse	Wushi
bsf	Bauchi
bsg	Bashkardi
bsh	Kateviri
bsi	Bassossi
bsj	Bangwinji
bsk	Burushaski
bsl	Basa-Gumna
bsm	Busami
bsn	Barasana-Eduria
bso	Buso
bsp	Baga Sitemu
bsq	Bassa
bsr	Bassa-Kontagora
bss	Akoose
bst	Basketo
bsu	Bahonsuai
bsv	Baga Sobané
bsw	Baiso
bsx	Yangkam
bsy	Sabah Bisaya
bta	Bata
btc	Bati
btd	Batak Dairi
bte	Gamo-Ningi
btf	Birgit
btg	Gagnoa Bété
bth	Biatah Bidayuh
bti	Burate
btj	Bacanese Malay
btm	Batak Mandailing
btn	Ratagnon
bto	Rinconada Bikol
btp	Budibud
btq	Batek
btr	Baetora
bts	Batak Simalungun
btt	Bete-Bendi
btu	Batu
btv	Bateri
btw	Butuanon
btx	Batak Karo
bty	Bobot
btz	Batak Alas-Kluet
bub	Bua
buc	Bushi
bud	Ntcham
bue	Beothuk
buf	Bushoong
bug	Bugis
buh	Younuo Bunu
bui	Bongili
buj	Basa-Gurmana
buk	Bugawac
bul	Bulgarian
bum	Bulu
bun	Sherbro
buo	Terei
bup	Busoa
buq	Brem
bus	Bokobaru
but	Bungain
buu	Budu
buv	Bun
buw	Bubi
bux	Boghom
buy	Bullom So
buz	Bukwen
bva	Barein
bvb	Bube
bvc	Baelelea
bvd	Baeggu
bve	Berau Malay
bvf	Boor
bvg	Bonkeng
bvh	Bure
bvi	Belanda Viri
bvj	Baan
bvk	Bukat
bvl	Bolivian Sign Language
bvm	Ngiemekohke
bvn	Buna
bvo	Bolgo
bvp	Bumang
bvq	Birri
bvr	Burarra
bvt	Bati
bvu	Bukit Malay
bvv	Baniva
bvw	Boga
bvx	Dibole
bvy	Baybayanon
bvz	Bauzi
bwa	Bwatoo
bwb	Namosi-Naitasiri-Serua
bwc	Bwile
bwd	Bwaidoka
bwe	Bwe Karen
bwf	Boselewa
bwg	Barwe
bwh	Bishuo
bwi	Baniwa
bwj	Láá Láá Bwamu
bwk	Bauwaki
bwl	Bwela
bwm	Biwat
bwn	Wunai Bunu
bwo	Borna
bwp	Mandobo Bawah
bwq	Southern Bobo Madaré
bwr	Bura-Pabir
bws	Bomboma
bwt	Bafaw-Balong
bwu	Buli
bww	Bwa
bwx	Bu-Nao Bunu
bwy	Cwi Bwamu
bwz	Bwisi
bxa	Bauro
bxb	Belanda Bor
bxc	Molengue
bxd	Pela
bxe	Ongota
bxf	Minigir
bxg	Bangala
bxh	Buhutu
bxi	Pirlatapa
bxj	Bayungu
bxk	Bukusu
bxl	Jalkunan
bxm	Mongolia Buriat
bxn	Burduna
bxo	Barikanchi
bxp	Bebil
bxq	Beele
bxr	Russia Buriat
bxs	Busam
bxu	China Buriat
bxv	Berakou
bxw	Bankagooma
bxz	Binahari
bya	Batak
byb	Bikya
byc	Ubaghara
byd	Benyadu’
bye	Pouye
byf	Bete
byg	Baygo
byh	Bhujel
byi	Buyu
byj	Bina
byk	Biao
byl	Bayono
bym	Bidjara
byn	Bilen
byo	Biyo
byp	Bumaji
byq	Basay
byr	Yipma
bys	Burak
byt	Berti
byv	Medumba
byw	Belhariya
byx	Qaqet
byz	Waran
bza	Bandi
bzb	Andio
bzc	Southern Betsimisaraka Malagasy
bzd	Bribri
bze	Jenaama Bozo
bzf	Boikin
bzg	Babuza
bzh	Central Buang
bzi	Bisu
bzj	Belize English Creole
bzk	Nicaragua English Creole
bzl	Boano
bzm	Bolondo
bzn	Boano
bzo	Bozaba
bzp	Kemberano
bzq	Buli
bzr	Biri
bzs	Brazilian Sign Language
bzu	Burmeso
bzv	Naami
bzw	Basa
bzx	Kelengaxo Bozo
bzy	Abanglekuo
bzz	Evant
caa	Ch’orti’
cab	Garifuna
cac	Chuj
cad	Caddo
cae	Laalaa
caf	Southern Carrier
cag	Nivaclé
cah	Cahuarano
caj	Chané
cak	Kaqchikel
cal	Carolinian
cam	Cemuhî
can	Chambri
cao	Chácobo
cap	Chipaya
caq	Car Nicobarese
car	Carib
cas	Tsimané
cat	Catalan
cav	Cavineña
caw	Callawalla
cax	Chiquitano
cay	Cayuga
caz	Canichana
cbb	Cabiyarí
cbc	Carapana
cbd	Carijona
cbg	Chimila
cbi	Chachi
cbj	Ede Cabe
cbk	Chavacano
cbl	Bualkhaw Chin
cbn	Nyahkur
cbo	Izora
cbq	Tsucuba
cbr	Kakataibo-Kashibo
cbs	Kashinawa
cbt	Shawi
cbu	Kandozi-Chapra
cbv	Cacua
cbw	Kinabalian
cby	Carabayo
ccc	Chamicuro
ccd	Cafundo Creole
cce	Chopi
ccg	Samba Daka
cch	Atsam
ccj	Kasanga
ccl	Cutchi-Swahili
ccm	Malaccan Malay Creole
cco	Comaltepec Chinantec
ccp	Chakma
ccr	Cacaopera
cda	Choni
cde	Chenchu
cdf	Chiru
cdh	Chambeali
cdi	Chodri
cdj	Churahi
cdm	Chepang
cdn	Chaudangsi
cdo	Min Dong Chinese
cdr	Kamuku
cds	Chadian Sign Language
cdy	Chadong
cdz	Koda
cea	Lower Chehalis
ceb	Cebuano
ceg	Chamacoco
cek	Eastern Khumi Chin
cen	Ibaas
ces	Czech
cet	Centúúm
cey	Läoktü Chin
cfa	Cham
cfd	Cara
cfg	Karimjo
cfm	Falam Chin
cga	Changriwa
cgc	Kagayanen
cgg	Chiga
cgk	Chocangacakha
cha	Chamorro
chb	Chibcha
chc	Catawba
chd	Highland Oaxaca Chontal
che	Chechen
chf	Tabasco Chontal
chg	Chagatai
chh	Chinook
chj	Ojitlán Chinantec
chk	Chuukese
chl	Cahuilla
chn	Chinook Wawa
cho	Choctaw
chp	Dene
chq	Quiotepec Chinantec
chr	Cherokee
cht	Cholón
chu	Church Slavonic
chv	Chuvash
chw	Chuwabu
chx	Chantyal
chy	Cheyenne
chz	Ozumacín Chinantec
cia	Cia-Cia
cib	Ci Gbe
cic	Chickasaw
cid	Chimariko
cie	Cineni
cih	Chinali
cik	Chitkuli Kinnauri
cim	Cimbrian
cin	Cinta Larga
cip	Chiapanec
cir	Tîrî
ciw	Chippewa
ciy	Chaima
cja	Western Cham
cje	Chru
cjh	Upper Chehalis
cji	Chamalal
cjk	Chokwe
cjm	Eastern Cham
cjn	Chenapian
cjo	Pajonal Ashéninka
cjp	Cabécar
cjs	Shor
cjv	Chuave
cjy	Jinyu Chinese
ckb	Central Kurdish
ckh	Chak
ckl	Kibaku
ckm	Chakavian
ckn	Kaang Chin
cko	Anufo
ckq	Kajakse
ckr	Kairak
cks	Tayo
ckt	Chukchi
cku	Koasati
ckv	Kavalan
ckx	Caka
cky	Cakfem-Mushere
ckz	Kaqchikel-K’iche’ Mixed Language
cla	Ron
clc	Chilcotin
cld	Chaldean Neo-Aramaic
cle	Lealao Chinantec
clh	Chilisso
cli	Chakali
clj	Laitu Chin
clk	Idu-Mishmi
cll	Chala
clm	Clallam
clo	Lowland Oaxaca Chontal
clt	Lautu Chin
clu	Caluyanun
clw	Chulym
cly	Eastern Highland Chatino
cma	Maa
cme	Cerma
cmi	Embera Chamí
cml	Koneq-koneq
cmm	Michigamea
cmn	Mandarin Chinese
cmo	Central Mnong
cmr	Mro-Khimi
cmt	Camtho
cna	Changthang
cnb	Uppu Chin
cnc	Côông
cng	Northern Qiang
cnh	Hakha Chin
cni	Asháninka
cnk	Khumi Chin
cnl	Lalana Chinantec
cno	Con
cnp	Northern Pinghua
cnq	Chung
cnr	Montenegrin
cns	Central Asmat
cnt	Tepetotutla Chinantec
cnu	Chenoua
cnw	Ngawn Chin
coa	Cocos Islands Malay
cob	Chicomuceltec
coc	Cocopa
cod	Kukama-Kukamiria
coe	Koreguaje
cof	Tsafiki
cog	Chong
coh	Chichonyi-Chidzihana-Chikauma
coj	Cochimi
cok	Santa Teresa Cora
col	Columbia-Wenatchi
com	Comanche
con	Cofán
coo	Comox
cop	Coptic
coq	Coquille
cor	Cornish
cos	Corsican
cot	Caquinte
cou	Wamey
cov	Cao Miao
cow	Cowlitz
cox	Nanti
coz	Chocholtec
cpa	Palantla Chinantec
cpb	Ucayali-Yurúa Ashéninka
cpc	Ajyíninka Apurucayali
cpg	Cappadocian Greek
cpi	Chinese Pidgin English
cpn	Cherepon
cpo	Kpeego
cps	Capiznon
cpu	Pichis Ashéninka
cpx	Pu-Xian Chinese
cpy	South Ucayali Ashéninka
cqd	Chuanqiandian Cluster Miao
cra	Tsaara
crb	Island Carib
crc	Lonwolwol
crd	Coeur d’Alene
crf	Caramanta
crg	Michif
crh	Crimean Tatar
cri	Sãotomense
crj	Southern East Cree
crk	Plains Cree
crl	Northern East Cree
crm	Moose Cree
crn	El Nayar Cora
cro	Crow
crq	Manjui
crr	Carolina Algonquian
crs	Seychelles French Creole
crt	Iyojwa’ja Chorote
crv	Chaura
crw	Chrau
crx	Carrier
cry	Kyoli
crz	Cruzeño
csa	Chiltepec Chinantec
csb	Kashubian
csc	Catalan Sign Language
csd	Chiangmai Sign Language
cse	Czech Sign Language
csf	Cuban Sign Language
csg	Chilean Sign Language
csh	Asho Chin
csi	Coast Miwok
csj	Songlai Chin
csk	Jola-Kasa
csl	Chinese Sign Language
csm	Central Sierra Miwok
csn	Colombian Sign Language
cso	Sochiapam Chinantec
csp	Southern Pinghua
csq	Croatian Sign Language
csr	Costa Rican Sign Language
css	Southern Ohlone
cst	Northern Ohlone
csv	Sumtu Chin
csw	Swampy Cree
csx	Cambodian Sign Language
csy	Siyin Chin
csz	Coos
cta	Tataltepec Chatino
ctc	Chetco
ctd	Tedim Chin
cte	Tepinapa Chinantec
ctg	Chittagonian
cth	Thaiphum Chin
ctl	Tlacoatzintepec Chinantec
ctm	Chitimacha
ctn	Chhintang
